date,price,supply,capital,trade,wiki
2017-10-13,5563.806566666666,16621362.5,92478045824.44708,953598649.4834647,53804
2017-10-14,5739.438733333333,16623125.0,95407407494.04167,328701504.6636471,40825
2017-10-15,5647.311666666667,16625562.5,93889733071.14584,490476846.89475596,37131
2017-10-16,5711.205866666667,16627737.5,94964431959.39334,322723336.5566526,41339
2017-10-17,5603.71294,16629787.5,93188555403.20026,322503478.1204792,37203
2017-10-18,5546.176100000001,16631675.0,92242198387.96751,627801313.9179745,34385
2017-10-19,5727.6335,16633900.0,95272882875.65,376178013.95121515,34379
2017-10-20,5979.45984,16636137.5,99475116073.968,583507046.8574011,39782
2017-10-21,6020.371683333334,16638050.0,100167245085.88417,555571195.7118287,44661
2017-10-22,5983.184550000001,16640325.0,99562135446.97876,469066735.29201514,40331
2017-10-23,5876.079866666667,16642462.5,97792438828.005,633277065.0849246,46345
2017-10-24,5505.827766666666,16644550.0,91642025553.67166,628021830.3437077,43756
2017-10-25,5669.622533333334,16646862.5,94381426739.30168,446193087.80574757,40927
2017-10-26,5893.138416666666,16649112.5,98115524477.1552,450583865.77724534,39086
2017-10-27,5772.504983333333,16650412.5,96114589130.80562,402366481.7965357,36708
2017-10-28,5776.6969500000005,16651475.0,96190524845.50125,278764450.6401858,31082
2017-10-29,6155.43402,16653400.0,102508904908.668,572711007.5335968,33836
2017-10-30,6105.87422,16655237.5,101694785279.22725,144588378.86395484,42538
2017-10-31,6388.645166666666,16656962.5,106415422966.97292,454449998.2659176,48178
2017-11-01,6665.306683333333,16658325.0,111032844955.63875,630017228.4715976,56103
2017-11-02,7068.020100000001,16660787.5,117758780931.82877,1143999865.200707,74790
2017-11-03,7197.72006,16662275.0,119930391012.7365,374814688.9945792,64293
2017-11-04,7437.543316666666,16663900.0,123938478074.60165,563573963.1487608,49914
2017-11-05,7377.012366666667,16665662.5,122942798361.19292,568573468.1529733,48027
2017-11-06,6989.071666666667,16667325.0,116489128916.625,832822399.364463,51778
2017-11-07,7092.127233333333,16669275.0,118220619187.42249,533993339.4799873,51470
2017-11-08,7415.878250000001,16671075.0,123630662496.61876,1261823617.3145914,54912
2017-11-09,7158.03706,16672987.5,119345862425.91675,528018381.56556165,54591
2017-11-10,6719.39785,16674487.5,112042515457.35188,1128392930.682508,53492
2017-11-11,6362.851033333333,16675487.5,106103642870.71208,805734191.0403882,44339
2017-11-12,5716.301583333334,16676487.5,95327831900.68855,1601736904.2787657,45229
2017-11-13,6550.227533333334,16678237.5,109246250479.9725,1259093767.510772,54732
2017-11-14,6635.412633333333,16679837.5,110677604469.44708,597502689.3669903,50079
2017-11-15,7301.42992,16681737.5,121800537300.086,925948609.9534755,46140
2017-11-16,7815.0307,16683637.5,130383139250.17125,1167106378.1773658,49047
2017-11-17,7786.884366666666,16685725.0,129929811148.99916,1009820547.5464566,62242
2017-11-18,7817.1403833333325,16687425.0,130447943861.34624,541082170.8748473,48910
2017-11-19,8007.654066666667,16689425.0,133643141971.57834,541743546.8099738,44907
2017-11-20,8255.596816666666,16691612.5,137799223020.03354,546752953.4571438,58371
2017-11-21,8059.8,16693775.0,134548487745.0,1004515766.6482553,61690
2017-11-22,8268.035,16695312.5,138037428085.9375,494283581.3226505,53155
2017-11-23,8148.95,16697587.5,136067805658.125,425395614.83598435,47490
2017-11-24,8250.978333333334,16699450.0,137786800128.58334,644675714.7939754,45720
2017-11-25,8707.407266666667,16701400.0,145425891723.50668,677327101.0766498,44223
2017-11-26,9284.1438,16703312.5,155075955186.3375,183816238.4787574,65803
2017-11-27,9718.29505,16705437.5,162348370564.33438,1100089826.5007603,123516
2017-11-28,9952.50882,16707387.5,166280421452.90775,824886242.4418215,144286
2017-11-29,9879.328333333333,16709550.0,165079130752.25,3006736495.2808194,262289
2017-11-30,10147.372,16711637.5,169579202441.65,2130663923.372405,212459
2017-12-01,10883.912,16713925.0,181912888874.6,1589331512.9417427,167229
2017-12-02,11071.368333333332,16715937.5,185068301099.47916,965994254.3562113,111343
2017-12-03,11332.622,16718137.5,189460332831.525,592011274.2160677,107583
2017-12-04,11584.83,16720400.0,193702991532.0,1283672891.399018,161367
2017-12-05,11878.433333333334,16722625.0,198638586220.83334,999891969.54149,159921
2017-12-06,13540.980000000001,16724975.0,226472551975.50003,1982715220.4509902,179109
2017-12-07,16501.971666666668,16726862.5,276026211047.2292,4548758961.588786,331637
2017-12-08,16007.436666666666,16728825.0,267785606695.25,3800432531.580915,344686
2017-12-09,15142.834152123332,16731000.0,253354758199.17548,2195860926.731846,214245
2017-12-10,14869.805,16733050.0,248817190555.25,2539286892.7016764,189621
2017-12-11,16762.116666666665,16735187.5,280517165313.5416,2487997751.019463,242875
2017-12-12,17276.393333333333,16737137.5,289157370724.0833,1992977378.0013492,230521
2017-12-13,16808.366666666665,16739462.5,281363023502.9166,2027550684.5009563,201431
2017-12-14,16678.892,16741775.0,279234257113.3,610207126.6876411,163855
2017-12-15,17771.899999999998,16743887.5,297570694261.24994,2066395216.5763328,128830
2017-12-16,19498.683333333334,16746025.0,326525438567.0834,1636509991.671891,117337
2017-12-17,19289.785,16748337.5,323071829482.4375,1641066517.685792,124072
2017-12-18,18961.856666666667,16750612.5,317622713303.875,2021140821.0929716,137631
2017-12-19,17737.111666666668,16752362.5,297138524342.9792,2215330000.929072,156057
2017-12-20,16026.271666666667,16754062.5,268505157145.3125,2752775707.1146574,164499
2017-12-21,16047.51,16755712.5,268887463900.875,1989091729.4332354,141432
2017-12-22,15190.945,16757650.0,254564539479.25,5352015515.542298,164227
2017-12-23,15360.261666666667,16759387.5,257428577373.0625,1967536506.4005926,145737
2017-12-24,13949.175000000001,16761287.5,233806132562.81253,1798168177.648421,109871
2017-12-25,14119.028333333334,16762975.0,236676918975.95834,1134112808.2412252,116313
2017-12-26,15999.048333333332,16764750.0,268220045546.24997,1745062014.3506472,126930
2017-12-27,15589.321666666665,16766700.0,261381479588.49997,1619268857.168229,99195
2017-12-28,14380.581666666667,16768562.5,241141682463.85416,1883494461.4293745,92296
2017-12-29,14640.14,16770625.0,245524297887.5,1274049463.7163732,91724
2017-12-30,13215.573999999999,16772462.5,221657719330.97498,1728481566.8689675,83250
2017-12-31,14165.574999999999,16774500.0,237620437837.49997,1142728354.646587,67355
2018-01-01,13812.186666666666,16776450.0,231719459004.0,744866630.5094119,65416
2018-01-02,15005.856666666667,16778587.5,251777079094.125,1567582731.903526,85549
2018-01-03,15053.261666666665,16780550.0,252602010060.5833,1138506779.2035935,91452
2018-01-04,15199.355000000001,16782650.0,255085455190.75003,1371803859.924131,86342
2018-01-05,17174.12,16784437.5,288257943757.5,1764169571.11057,79232
2018-01-06,17319.198,16786537.5,290729366696.925,1024721001.2487963,79836
2018-01-07,16651.471666666668,16788562.5,279554272792.8125,946406884.7515358,79013
2018-01-08,15265.906666666668,16790637.5,256324304948.83334,1742246003.5464456,87562
2018-01-09,14714.253333333334,16792687.5,247091858022.5,1182426648.294293,91854
2018-01-10,15126.398333333333,16794762.5,254044267488.72916,1634548780.4014,99815
2018-01-11,13296.794,16797175.0,223348575756.95,1663185737.5560942,88028
2018-01-12,13912.882000000001,16799400.0,233728069870.80002,1014053986.1381412,75933
2018-01-13,14499.773333333333,16801262.5,243614497963.8333,740504186.9595935,65514
2018-01-14,13852.92,16803200.0,232773385344.0,804914641.6120825,57507
2018-01-15,14012.196,16805075.0,235476004694.7,758546178.5825682,63876
2018-01-16,11180.998333333331,16807062.5,187919737800.72913,2762626868.9217606,74029
2018-01-17,11116.946666666669,16809150.0,186866424062.00003,2926596198.2111597,89187
2018-01-18,11345.423333333332,16811312.5,190731457101.4583,1771113579.4696858,70655
2018-01-19,11422.44,16813375.0,192049767135.0,1064413369.5978014,58273
2018-01-20,12950.793333333333,16815600.0,217775360376.0,1097313787.3573146,50979
2018-01-21,11505.228,16817937.5,193494205427.25,436195518.92766696,47043
2018-01-22,10544.593333333332,16820025.0,177360323481.49997,1210203940.8799615,53460
2018-01-23,11223.064,16822237.5,188797048085.7,1305109027.9785473,48401
2018-01-24,11282.258333333333,16824437.5,189817650188.02084,921820890.74857,50792
2018-01-25,11214.44,16826412.5,188698793396.5,772706342.7640659,53599
2018-01-26,10969.815,16828350.0,184603886255.25,1135179206.750647,45074
2018-01-27,11524.776666666667,16830312.5,193965592792.70834,763094646.009555,39103
2018-01-28,11765.71,16832287.5,198043813361.625,738104166.8668789,39525
2018-01-29,11212.654999999999,16834137.5,188755376010.06247,611119735.3108903,41255
2018-01-30,10184.061666666666,16836225.0,171461153633.875,1266284116.12824,39961
2018-01-31,10125.013333333334,16837687.5,170481810440.0,933239777.885645,44012
2018-02-01,9083.258333333333,16839687.5,152959231815.10416,1509688358.173765,47413
2018-02-02,8901.901666666667,16841787.5,149923936215.89584,2213436748.092759,52986
2018-02-03,9076.678333333333,16843762.5,152885414135.5625,952403804.977636,44264
2018-02-04,8400.648333333333,16845987.5,141517216815.22916,1080682794.7357142,42910
2018-02-05,6838.816666666667,16848300.0,115222434845.0,1793319477.2540278,56614
2018-02-06,7685.633333333334,16850425.0,129506188060.83334,3094258118.1919785,57917
2018-02-07,8099.958333333333,16852187.5,136502016575.52083,1670287563.7429032,42782
2018-02-08,8240.536666666667,16853825.0,138884562886.08334,1336661910.5091228,40473
2018-02-09,8535.516666666668,16855512.5,143870507868.95837,1093134650.4219353,40043
2018-02-10,8319.876566184,16857300.0,140250655239.13354,918540174.4693165,33655
2018-02-11,8343.455,16859187.5,140663872242.8125,796391653.708568,33358
2018-02-12,8811.343333333332,16861262.5,148570372920.9583,836623674.3131925,42788
2018-02-13,8597.7675,16863312.5,144986840154.84375,188454378.60299003,37817
2018-02-14,9334.633333333333,16865550.0,157433725215.0,915165499.846264,34123
2018-02-15,9977.154,16867187.5,168286527234.375,1282426210.891208,36704
2018-02-16,10127.161666666667,16869150.0,170836609229.25,866501985.7084646,31048
2018-02-17,10841.991666666667,16871012.5,182915376933.22916,973554319.9083946,28385
2018-02-18,10503.298333333334,16873037.5,177222546652.02084,1377347061.4161527,26705
2018-02-19,11110.964999999998,16875062.5,187498228810.31247,1020588579.3383632,26856
2018-02-20,11390.391666666668,16876825.0,192233646839.7917,1258473015.5963838,38980
2018-02-21,10532.791666666666,16878937.5,177782332242.1875,1601103155.9094486,24746
2018-02-22,9931.071666666667,16880800.0,167644434590.66666,1395055528.707782,23720
2018-02-23,10162.116666666667,16882650.0,171563458942.5,1156539785.8885357,20187
2018-02-24,9697.956,16884462.5,163744774408.65,814952720.426771,18489
2018-02-25,9696.593333333332,16886600.0,163742492982.66666,619244270.7229553,23615
2018-02-26,10348.603333333334,16888362.5,174770964462.0417,982054724.8043953,24751
2018-02-27,10763.883333333333,16890362.5,181805891407.70834,820239742.1576885,27708
2018-02-28,10370.164999999999,16892300.0,175175938229.49997,871257587.9600855,23812
2018-03-01,11009.381666666668,16894362.5,185996484777.52084,790675903.7454846,19703
2018-03-02,11055.815,16896312.5,186802505182.1875,673860238.90624,28651
2018-03-03,11326.948333333334,16898562.5,191409144345.1042,663520514.0089278,17645
2018-03-04,11430.181666666665,16900412.5,193174785116.60416,542742758.5116323,17668
2018-03-05,11595.54,16902275.0,195991005853.5,652061173.890632,18631
2018-03-06,10763.198333333334,16904225.0,181943526346.2917,969993576.7318369,31665
2018-03-07,10118.058,16906187.5,171057785683.875,1355596866.815812,25862
2018-03-08,9429.111666666666,16908212.5,159429423746.22916,1231498466.0360353,18247
2018-03-09,9089.278333333334,16910037.5,153700037464.6042,1735625689.9003196,18272
2018-03-10,8746.002,16911787.5,147910527298.575,870115563.806644,15591
2018-03-11,9761.396666666666,16913700.0,165101334800.99997,1205268901.9546967,20093
2018-03-12,9182.843333333332,16915712.5,155334337759.2083,1145556674.728174,21664
2018-03-13,9154.699999999999,16917687.5,154876353756.24997,1013634517.5790632,20618
2018-03-14,8151.531666666667,16919487.5,137919738140.02084,1157902505.0164309,18965
2018-03-15,8358.121666666666,16921287.5,141430179681.6458,1315209565.0947168,19632
2018-03-16,8530.402,16923237.5,144362019016.475,771954415.4188056,17650
2018-03-17,7993.674643641666,16925100.0,135293742711.09956,711706325.7031032,14444
2018-03-18,8171.415,16926987.5,138317439562.3125,1270330308.3404047,16792
2018-03-19,8412.033333333333,16928925.0,142406681397.5,1183523625.1592457,28645
2018-03-20,8986.948333333334,16930512.5,152153641094.3542,968836842.5813378,22021
2018-03-21,8947.753333333334,16932412.5,151507050388.25,770717053.190813,26294
2018-03-22,8690.408333333333,16934200.0,147165112798.3333,826892556.9047964,32044
2018-03-23,8686.826666666666,16935862.5,147118901988.0,734259108.9042656,26204
2018-03-24,8662.378333333334,16937812.5,146721740014.0625,638996171.2272326,14517
2018-03-25,8617.296666666667,16939500.0,145972696885.0,497976127.7519874,12644
2018-03-26,8197.548333333334,16941375.0,138877740395.625,898113449.0403993,25896
2018-03-27,7876.195,16943275.0,133448537838.625,706985634.7361835,20067
2018-03-28,7960.38,16944962.5,134888340585.75,526257701.60659367,25001
2018-03-29,7172.28,16946862.5,121547642971.5,1093751115.3311026,17879
2018-03-30,6882.531666666667,16948887.5,116651254933.52083,1352337905.1215136,18396
2018-03-31,6935.48,16950487.5,117559767046.5,754226245.4255953,12176
2018-04-01,6794.105,16952512.5,115177149938.8125,722273399.9422678,13807
2018-04-02,7035.848333333332,16954462.5,119289026723.18748,607508836.2282234,18749
2018-04-03,7410.435,16956500.0,125655041077.5,750173781.591549,18075
2018-04-04,6787.761666666666,16958337.5,115109153212.89583,678823367.2390053,20736
2018-04-05,6826.509999999999,16960287.5,115779572221.62498,609341543.7440615,20691
2018-04-06,6603.876666666667,16962012.5,112015038568.45834,462008926.0509123,18699
2018-04-07,6927.688,16964262.5,117523117750.1,182056053.35506067,17621
2018-04-08,7017.656666666667,16966275.0,119063492862.25,326416046.9776088,17800
2018-04-09,6699.2733333333335,16968112.5,113674023588.25,753187037.3023131,14955
2018-04-10,6787.571666666667,16970162.5,115186194163.72917,315236593.3233505,18262
2018-04-11,6926.266666666666,16972175.0,117553809963.33333,307821267.9258925,14757
2018-04-12,7847.845,16974100.0,133210105814.5,1299643867.9862459,16972
2018-04-13,7895.408333333333,16976162.5,134033734870.52083,926851085.0818262,15121
2018-04-14,8036.511051408333,16977875.0,136442880066.92924,436167916.73280394,12104
2018-04-15,8340.748333333333,16979912.5,141625176884.5208,463617555.31277305,12138
2018-04-16,8043.803333333333,16981675.0,136597253970.58333,573360855.0441558,15892
2018-04-17,7895.416925956,16983700.0,134093392445.35892,394991691.10931724,17430
